SUBDIVISION,YEAR,ANNUAL
ANDAMAN & NICOBAR ISLANDS,2003,2355.9
ANDAMAN & NICOBAR ISLANDS,2004,2460.1
ANDAMAN & NICOBAR ISLANDS,2005,2954.7
ANDAMAN & NICOBAR ISLANDS,2006,2404.7
ANDAMAN & NICOBAR ISLANDS,2007,2748
ANDAMAN & NICOBAR ISLANDS,2008,3374.8
ANDAMAN & NICOBAR ISLANDS,2009,2538.6
ANDAMAN & NICOBAR ISLANDS,2010,3157.1
ANDAMAN & NICOBAR ISLANDS,2011,3828
ANDAMAN & NICOBAR ISLANDS,2012,3497.6
ANDAMAN & NICOBAR ISLANDS,2013,3757.8
ANDAMAN & NICOBAR ISLANDS,2014,2622.4
ANDAMAN & NICOBAR ISLANDS,2015,2904.6
ARUNACHAL PRADESH,1916,NA
ARUNACHAL PRADESH,1917,NA
ARUNACHAL PRADESH,1918,5486.3
ARUNACHAL PRADESH,1919,4693.9
ARUNACHAL PRADESH,1920,4106.7
ARUNACHAL PRADESH,1921,5691.4
ARUNACHAL PRADESH,1922,4187.2
ARUNACHAL PRADESH,1923,3507.5
ARUNACHAL PRADESH,1924,4450.5
ARUNACHAL PRADESH,1925,4439.8
ARUNACHAL PRADESH,1926,3521.6
ARUNACHAL PRADESH,1927,5253.2
ARUNACHAL PRADESH,1928,5272.7
ARUNACHAL PRADESH,1929,4320.2
ARUNACHAL PRADESH,1930,4334.1
ARUNACHAL PRADESH,1931,4872.1
ARUNACHAL PRADESH,1932,4850.9
ARUNACHAL PRADESH,1933,3773.3
ARUNACHAL PRADESH,1934,4575.7
ARUNACHAL PRADESH,1935,4173.7
ARUNACHAL PRADESH,1936,4788.9
ARUNACHAL PRADESH,1937,3375.1
ARUNACHAL PRADESH,1938,6129
ARUNACHAL PRADESH,1939,3898.7
ARUNACHAL PRADESH,1940,4099.3
ARUNACHAL PRADESH,1941,4220.2
ARUNACHAL PRADESH,1942,3828.2
ARUNACHAL PRADESH,1943,4326.7
ARUNACHAL PRADESH,1944,3904.3
ARUNACHAL PRADESH,1945,3649.3
ARUNACHAL PRADESH,1946,4011.2
ARUNACHAL PRADESH,1947,4369.1
ARUNACHAL PRADESH,1948,6331.1
ARUNACHAL PRADESH,1949,4874.7
ARUNACHAL PRADESH,1950,NA
ARUNACHAL PRADESH,1951,3354.2
ARUNACHAL PRADESH,1952,2396.1
ARUNACHAL PRADESH,1953,NA
ARUNACHAL PRADESH,1957,NA
ARUNACHAL PRADESH,1958,5063.5
ARUNACHAL PRADESH,1959,4195.5
ARUNACHAL PRADESH,1960,3709.4
ARUNACHAL PRADESH,1961,3676.5
ARUNACHAL PRADESH,1962,NA
ARUNACHAL PRADESH,1963,4138
ARUNACHAL PRADESH,1964,4959.3
ARUNACHAL PRADESH,1965,2196.8
ARUNACHAL PRADESH,1966,2209.6
ARUNACHAL PRADESH,1967,1668.5
ARUNACHAL PRADESH,1968,2139
ARUNACHAL PRADESH,1969,1877.7
ARUNACHAL PRADESH,1970,1973.4
ARUNACHAL PRADESH,1971,2184.5
ARUNACHAL PRADESH,1972,2281.3
ARUNACHAL PRADESH,1973,2457.5
ARUNACHAL PRADESH,1974,3063.9
ARUNACHAL PRADESH,1975,2213.3
ARUNACHAL PRADESH,1976,2419.5
ARUNACHAL PRADESH,1977,3774.3
ARUNACHAL PRADESH,1978,2531
ARUNACHAL PRADESH,1979,2773.6
ARUNACHAL PRADESH,1980,3215.3
ARUNACHAL PRADESH,1981,2790.9
ARUNACHAL PRADESH,1982,2779.5
ARUNACHAL PRADESH,1983,3335.3
ARUNACHAL PRADESH,1984,3278
ARUNACHAL PRADESH,1985,3266.2
ARUNACHAL PRADESH,1986,2495.6
ARUNACHAL PRADESH,1987,3433.2
ARUNACHAL PRADESH,1988,4155.3
ARUNACHAL PRADESH,1989,3281.6
ARUNACHAL PRADESH,1990,3604
ARUNACHAL PRADESH,1991,3434.4
ARUNACHAL PRADESH,1992,2707
ARUNACHAL PRADESH,1993,3348.9
ARUNACHAL PRADESH,1994,2287.4
ARUNACHAL PRADESH,1995,3068.8
ARUNACHAL PRADESH,1996,2520.5
ARUNACHAL PRADESH,1997,2274.9
ARUNACHAL PRADESH,1998,3616.7
ARUNACHAL PRADESH,1999,2316.6
ARUNACHAL PRADESH,2000,2596.8
ARUNACHAL PRADESH,2001,2036
ARUNACHAL PRADESH,2002,2389.2
ARUNACHAL PRADESH,2003,2451.8
ARUNACHAL PRADESH,2004,2545.7
ARUNACHAL PRADESH,2005,2335.5
ARUNACHAL PRADESH,2006,2259.6
ARUNACHAL PRADESH,2007,3020.7
ARUNACHAL PRADESH,2008,2244.4
ARUNACHAL PRADESH,2009,1749.9
ARUNACHAL PRADESH,2010,2855.7
ARUNACHAL PRADESH,2011,2193.7
ARUNACHAL PRADESH,2012,3440.3
ARUNACHAL PRADESH,2013,2042.9
ARUNACHAL PRADESH,2014,2403.2
ARUNACHAL PRADESH,2015,2767.5
ASSAM & MEGHALAYA,1901,2498.6
ASSAM & MEGHALAYA,1902,2952.1
ASSAM & MEGHALAYA,1903,2544.7
ASSAM & MEGHALAYA,1904,2664.1
ASSAM & MEGHALAYA,1905,2790.6
ASSAM & MEGHALAYA,1906,2663.4
ASSAM & MEGHALAYA,1907,2521.1
ASSAM & MEGHALAYA,1908,2277.8
ASSAM & MEGHALAYA,1909,2377
ASSAM & MEGHALAYA,1910,2887.3
ASSAM & MEGHALAYA,1911,3096.2
ASSAM & MEGHALAYA,1912,2743.5
ASSAM & MEGHALAYA,1913,2760.5
ASSAM & MEGHALAYA,1914,2343.8
ASSAM & MEGHALAYA,1915,3165.1
ASSAM & MEGHALAYA,1916,2601.1
ASSAM & MEGHALAYA,1917,2519.9
ASSAM & MEGHALAYA,1918,3106.8
ASSAM & MEGHALAYA,1919,2344.2
ASSAM & MEGHALAYA,1920,2623.6
ASSAM & MEGHALAYA,1921,2999.7
ASSAM & MEGHALAYA,1922,2261.9
ASSAM & MEGHALAYA,1923,2440.6
ASSAM & MEGHALAYA,1924,2691.4
ASSAM & MEGHALAYA,1925,2550.5
ASSAM & MEGHALAYA,1926,2511.7
ASSAM & MEGHALAYA,1927,2793.1
ASSAM & MEGHALAYA,1928,2634.3
ASSAM & MEGHALAYA,1929,2953.8
ASSAM & MEGHALAYA,1930,2550.7
ASSAM & MEGHALAYA,1931,2800.1
ASSAM & MEGHALAYA,1932,2888.7
ASSAM & MEGHALAYA,1933,2339.1
ASSAM & MEGHALAYA,1934,3074.9
ASSAM & MEGHALAYA,1935,2678.4
ASSAM & MEGHALAYA,1936,2671.3
ASSAM & MEGHALAYA,1937,2324.6
ASSAM & MEGHALAYA,1938,2786.5
ASSAM & MEGHALAYA,1939,2401.6
ASSAM & MEGHALAYA,1940,2451.6
ASSAM & MEGHALAYA,1941,2709.5
ASSAM & MEGHALAYA,1942,2677
ASSAM & MEGHALAYA,1943,2703.7
ASSAM & MEGHALAYA,1944,2524.3
ASSAM & MEGHALAYA,1945,2665.7
ASSAM & MEGHALAYA,1946,2679.5
ASSAM & MEGHALAYA,1947,2643.3
ASSAM & MEGHALAYA,1948,3185.4
ASSAM & MEGHALAYA,1949,2983.4
ASSAM & MEGHALAYA,1950,2392.4
ASSAM & MEGHALAYA,1951,2613.8
ASSAM & MEGHALAYA,1952,2851.3
ASSAM & MEGHALAYA,1953,2559.9
ASSAM & MEGHALAYA,1954,2859.1
ASSAM & MEGHALAYA,1955,2761.2
ASSAM & MEGHALAYA,1956,2802.9
ASSAM & MEGHALAYA,1957,2257.2
ASSAM & MEGHALAYA,1958,2626.4
ASSAM & MEGHALAYA,1959,2535.8
ASSAM & MEGHALAYA,1960,2342.2
ASSAM & MEGHALAYA,1961,2195.3
ASSAM & MEGHALAYA,1962,2295.9
ASSAM & MEGHALAYA,1963,2511.8
ASSAM & MEGHALAYA,1964,2729.6
ASSAM & MEGHALAYA,1965,2398.9
ASSAM & MEGHALAYA,1966,2789.3
ASSAM & MEGHALAYA,1967,2123.4
ASSAM & MEGHALAYA,1968,2530.8
ASSAM & MEGHALAYA,1969,2332.2
ASSAM & MEGHALAYA,1970,3048.4
ASSAM & MEGHALAYA,1971,2315.1
ASSAM & MEGHALAYA,1972,2379.1
ASSAM & MEGHALAYA,1973,2672.1
ASSAM & MEGHALAYA,1974,3403.5
ASSAM & MEGHALAYA,1975,2270.6
ASSAM & MEGHALAYA,1976,1956
ASSAM & MEGHALAYA,1977,2616.6
ASSAM & MEGHALAYA,1978,2011.9
ASSAM & MEGHALAYA,1979,2188.5
ASSAM & MEGHALAYA,1980,2289.2
ASSAM & MEGHALAYA,1981,2079.3
ASSAM & MEGHALAYA,1982,2382.2
ASSAM & MEGHALAYA,1983,2620
ASSAM & MEGHALAYA,1984,3157
ASSAM & MEGHALAYA,1985,2801.6
ASSAM & MEGHALAYA,1986,2592.8
ASSAM & MEGHALAYA,1987,2921.4
ASSAM & MEGHALAYA,1988,3261.7
ASSAM & MEGHALAYA,1989,2682.1
ASSAM & MEGHALAYA,1990,2771.2
ASSAM & MEGHALAYA,1991,2838
ASSAM & MEGHALAYA,1992,2259.8
ASSAM & MEGHALAYA,1993,2879.2
ASSAM & MEGHALAYA,1994,2121.3
ASSAM & MEGHALAYA,1995,2886.1
ASSAM & MEGHALAYA,1996,2466.9
ASSAM & MEGHALAYA,1997,2372.2
ASSAM & MEGHALAYA,1998,2803.1
ASSAM & MEGHALAYA,1999,2594.2
ASSAM & MEGHALAYA,2000,2487
ASSAM & MEGHALAYA,2001,2178.4
ASSAM & MEGHALAYA,2002,2392.7
ASSAM & MEGHALAYA,2003,2434.1
ASSAM & MEGHALAYA,2004,2994.3
ASSAM & MEGHALAYA,2005,2468.3
ASSAM & MEGHALAYA,2006,1898.6
ASSAM & MEGHALAYA,2007,2752.8
ASSAM & MEGHALAYA,2008,2339.7
ASSAM & MEGHALAYA,2009,2068.2
ASSAM & MEGHALAYA,2010,2711.5
ASSAM & MEGHALAYA,2011,1743.4
ASSAM & MEGHALAYA,2012,2609.4
ASSAM & MEGHALAYA,2013,1816.4
ASSAM & MEGHALAYA,2014,2206.1
ASSAM & MEGHALAYA,2015,2470.9
NAGA MANI MIZO TRIPURA,1901,2168.4
NAGA MANI MIZO TRIPURA,1902,2175
NAGA MANI MIZO TRIPURA,1903,2230.7
NAGA MANI MIZO TRIPURA,1904,2519.8
NAGA MANI MIZO TRIPURA,1905,2527.6
NAGA MANI MIZO TRIPURA,1906,2514.4
NAGA MANI MIZO TRIPURA,1907,2121.7
NAGA MANI MIZO TRIPURA,1908,2319.3
NAGA MANI MIZO TRIPURA,1909,2308.7
NAGA MANI MIZO TRIPURA,1910,2267.9
NAGA MANI MIZO TRIPURA,1911,2479.8
NAGA MANI MIZO TRIPURA,1912,2308.8
NAGA MANI MIZO TRIPURA,1913,2613.2
NAGA MANI MIZO TRIPURA,1914,2529.2
NAGA MANI MIZO TRIPURA,1915,2819.9
NAGA MANI MIZO TRIPURA,1916,2555
NAGA MANI MIZO TRIPURA,1917,2222.2
NAGA MANI MIZO TRIPURA,1918,3013.3
NAGA MANI MIZO TRIPURA,1919,2047.9
NAGA MANI MIZO TRIPURA,1920,2375.8
NAGA MANI MIZO TRIPURA,1921,2638.2
NAGA MANI MIZO TRIPURA,1922,2462.6
NAGA MANI MIZO TRIPURA,1923,2685.5
NAGA MANI MIZO TRIPURA,1924,2701.7
NAGA MANI MIZO TRIPURA,1925,2447.5
NAGA MANI MIZO TRIPURA,1926,2463.2
NAGA MANI MIZO TRIPURA,1927,2887.5
NAGA MANI MIZO TRIPURA,1928,2472.4
NAGA MANI MIZO TRIPURA,1929,2859.4
NAGA MANI MIZO TRIPURA,1930,2487.4
NAGA MANI MIZO TRIPURA,1931,2461.1
NAGA MANI MIZO TRIPURA,1932,2761.7
NAGA MANI MIZO TRIPURA,1933,2451.8
NAGA MANI MIZO TRIPURA,1934,3040.8
NAGA MANI MIZO TRIPURA,1935,2543.3
NAGA MANI MIZO TRIPURA,1936,2917.1
NAGA MANI MIZO TRIPURA,1937,2741.6
NAGA MANI MIZO TRIPURA,1938,2971.6
NAGA MANI MIZO TRIPURA,1939,2608.3
NAGA MANI MIZO TRIPURA,1940,2526.7
NAGA MANI MIZO TRIPURA,1941,2966.2
NAGA MANI MIZO TRIPURA,1942,2680.9
NAGA MANI MIZO TRIPURA,1943,2427.9
NAGA MANI MIZO TRIPURA,1944,2877.3
NAGA MANI MIZO TRIPURA,1945,3051.9
NAGA MANI MIZO TRIPURA,1946,3036.2
NAGA MANI MIZO TRIPURA,1947,3210.2
NAGA MANI MIZO TRIPURA,1948,2822.1
NAGA MANI MIZO TRIPURA,1949,2976.3
NAGA MANI MIZO TRIPURA,1950,2423
NAGA MANI MIZO TRIPURA,1951,2609.3
NAGA MANI MIZO TRIPURA,1952,2810.9
NAGA MANI MIZO TRIPURA,1953,2661.6
NAGA MANI MIZO TRIPURA,1954,2905.1
NAGA MANI MIZO TRIPURA,1955,2865
NAGA MANI MIZO TRIPURA,1956,3022.7
NAGA MANI MIZO TRIPURA,1957,2303.9
NAGA MANI MIZO TRIPURA,1958,1968.6
NAGA MANI MIZO TRIPURA,1959,2327.6
NAGA MANI MIZO TRIPURA,1960,1799.9
NAGA MANI MIZO TRIPURA,1961,1901.2
NAGA MANI MIZO TRIPURA,1962,1822.5
NAGA MANI MIZO TRIPURA,1963,2970
NAGA MANI MIZO TRIPURA,1964,2328.7
NAGA MANI MIZO TRIPURA,1965,2031
NAGA MANI MIZO TRIPURA,1966,2478.6
NAGA MANI MIZO TRIPURA,1967,2229.9
NAGA MANI MIZO TRIPURA,1968,2110
NAGA MANI MIZO TRIPURA,1969,3610
NAGA MANI MIZO TRIPURA,1970,4316.2
NAGA MANI MIZO TRIPURA,1971,3080.7
NAGA MANI MIZO TRIPURA,1972,1353.8
NAGA MANI MIZO TRIPURA,1973,2105.8
NAGA MANI MIZO TRIPURA,1974,2329.6
NAGA MANI MIZO TRIPURA,1975,2209.7
NAGA MANI MIZO TRIPURA,1976,2651.4
NAGA MANI MIZO TRIPURA,1977,2358.5
NAGA MANI MIZO TRIPURA,1978,2150.8
NAGA MANI MIZO TRIPURA,1979,1749.2
NAGA MANI MIZO TRIPURA,1980,2305
NAGA MANI MIZO TRIPURA,1981,2072.2
NAGA MANI MIZO TRIPURA,1982,2027.5
NAGA MANI MIZO TRIPURA,1983,2588
NAGA MANI MIZO TRIPURA,1984,2454
NAGA MANI MIZO TRIPURA,1985,2105.3
NAGA MANI MIZO TRIPURA,1986,2342.3
NAGA MANI MIZO TRIPURA,1987,2361.3
NAGA MANI MIZO TRIPURA,1988,2820.2
NAGA MANI MIZO TRIPURA,1989,2359
NAGA MANI MIZO TRIPURA,1990,2582.3
NAGA MANI MIZO TRIPURA,1991,2851.9
NAGA MANI MIZO TRIPURA,1992,2221.4
NAGA MANI MIZO TRIPURA,1993,2881.7
NAGA MANI MIZO TRIPURA,1994,1712.5
NAGA MANI MIZO TRIPURA,1995,2340.2
NAGA MANI MIZO TRIPURA,1996,2194.5
NAGA MANI MIZO TRIPURA,1997,2212
NAGA MANI MIZO TRIPURA,1998,2225.4
NAGA MANI MIZO TRIPURA,1999,2233
NAGA MANI MIZO TRIPURA,2000,2363.9
NAGA MANI MIZO TRIPURA,2001,2149
NAGA MANI MIZO TRIPURA,2002,2242.3
NAGA MANI MIZO TRIPURA,2003,2162.2
NAGA MANI MIZO TRIPURA,2004,2353.7
NAGA MANI MIZO TRIPURA,2005,1836.7
NAGA MANI MIZO TRIPURA,2006,1872
NAGA MANI MIZO TRIPURA,2007,2538.2
NAGA MANI MIZO TRIPURA,2008,1748.9
NAGA MANI MIZO TRIPURA,2009,1737.7
NAGA MANI MIZO TRIPURA,2010,2295.2
NAGA MANI MIZO TRIPURA,2011,1892.1
NAGA MANI MIZO TRIPURA,2012,1922.9
NAGA MANI MIZO TRIPURA,2013,1557.2
NAGA MANI MIZO TRIPURA,2014,1599.9
NAGA MANI MIZO TRIPURA,2015,1922.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1901,2113.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1902,3180.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1903,2404.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1904,2169.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1905,3005
SUB HIMALAYAN WEST BENGAL & SIKKIM,1906,2618
SUB HIMALAYAN WEST BENGAL & SIKKIM,1907,2530
SUB HIMALAYAN WEST BENGAL & SIKKIM,1908,1988.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1909,2670.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1910,3046.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1911,3194.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1912,2793.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1913,2935.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1914,2414.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1915,2504.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1916,3476.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1917,2841.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1918,2981.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1919,2544.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1920,2884.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1921,3513.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1922,3001.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1923,2489
SUB HIMALAYAN WEST BENGAL & SIKKIM,1924,2950.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1925,2886.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1926,2637.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1927,2732.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1928,2868.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1929,2931.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1930,2184.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1931,2876.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1932,2715.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1933,2514.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1934,2612.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1935,2785.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1936,2660.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1937,2568.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1938,3249.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1939,2591.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1940,2320.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1941,2718
SUB HIMALAYAN WEST BENGAL & SIKKIM,1942,2365.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1943,2917.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1944,2583.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1945,2755.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1946,2768.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1947,2534.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1948,2936.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1949,3287.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1950,2762.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1951,2683.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1952,3270.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1953,2594
SUB HIMALAYAN WEST BENGAL & SIKKIM,1954,3055.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1955,2992.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1956,2885.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1957,2225.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1958,2820.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1959,2580.1
SUB HIMALAYAN WEST BENGAL & SIKKIM,1960,2610.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1961,2304.2
SUB HIMALAYAN WEST BENGAL & SIKKIM,1962,2521.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1963,2604.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1964,2981.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1965,2762.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1966,2515.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1967,2860.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1968,3378.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1969,2424.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1970,2702.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1971,3226.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1972,2414.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1973,2804.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1974,3341.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1975,2663.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1976,2793.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1977,2906.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1978,2377.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1979,2511.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1980,3148.6
SUB HIMALAYAN WEST BENGAL & SIKKIM,1981,2969.3
SUB HIMALAYAN WEST BENGAL & SIKKIM,1982,2337.7
SUB HIMALAYAN WEST BENGAL & SIKKIM,1983,2838.8
SUB HIMALAYAN WEST BENGAL & SIKKIM,1984,2748.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1985,3037.9
SUB HIMALAYAN WEST BENGAL & SIKKIM,1986,2365.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1987,3185.5
SUB HIMALAYAN WEST BENGAL & SIKKIM,1988,3141.4
SUB HIMALAYAN WEST BENGAL & SIKKIM,1989,2854.6
